nodes,connection
"(1039, 1099)",1
"(353, 1039)",1
"(830, 1515)",1
"(672, 1181)",1
"(638, 1114)",1
"(964, 1052)",1
"(727, 1102)",1
"(738, 1444)",1
"(1078, 1170)",1
"(1263, 1581)",1
"(441, 1454)",1
"(983, 1307)",1
"(985, 1299)",1
"(1100, 1552)",1
"(580, 1057)",1
"(434, 844)",1
"(1266, 1544)",1
"(411, 1037)",1
"(777, 1555)",1
"(959, 1272)",1
"(391, 1599)",1
"(405, 700)",1
"(993, 1495)",1
"(412, 701)",1
"(1079, 1190)",1
"(549, 1505)",1
"(1056, 1579)",1
"(1468, 1535)",1
"(1240, 1276)",1
"(814, 1331)",1
"(670, 869)",1
"(967, 1378)",1
"(835, 1280)",1
"(789, 1269)",1
"(954, 1105)",1
"(464, 1056)",1
"(786, 990)",1
"(665, 1415)",1
"(998, 1351)",1
"(672, 1166)",1
"(383, 667)",1
"(381, 614)",1
"(585, 1595)",1
"(537, 1287)",1
"(503, 1572)",1
"(1280, 1576)",1
"(625, 1289)",1
"(479, 1496)",1
"(459, 1343)",1
"(402, 987)",1
"(550, 1041)",1
"(911, 1552)",1
"(519, 985)",1
"(1207, 1345)",1
"(535, 548)",1
"(1097, 1191)",1
"(595, 1410)",1
"(605, 932)",1
"(697, 1530)",1
"(303, 1316)",1
"(599, 1266)",1
"(565, 1112)",1
"(656, 1119)",1
"(516, 742)",1
"(526, 1530)",1
"(773, 1279)",1
"(1204, 1578)",1
"(1098, 1104)",1
"(1017, 1398)",1
"(1474, 1538)",1
"(956, 1354)",1
"(609, 758)",1
"(1007, 1271)",1
"(1003, 1216)",1
"(307, 1475)",1
"(1015, 1283)",1
"(922, 976)",1
"(397, 990)",1
"(1099, 1391)",1
"(748, 1524)",1
"(1307, 1311)",1
"(1325, 1510)",1
"(1160, 1164)",1
"(646, 1300)",1
"(1010, 1229)",1
"(1427, 1467)",1
"(538, 766)",1
"(316, 1237)",1
"(1009, 1234)",1
"(751, 1379)",1
"(493, 1519)",1
"(1148, 1292)",1
"(663, 1009)",1
"(1036, 1185)",1
"(1462, 1573)",1
"(399, 1254)",1
"(1161, 1355)",1
"(421, 510)",1
"(652, 870)",1
"(693, 722)",1
"(1298, 1451)",1
"(728, 1405)",1
"(484, 1405)",1
"(1312, 1328)",1
"(876, 1205)",1
"(738, 1230)",1
"(849, 1150)",1
"(798, 1112)",1
"(980, 1154)",1
"(334, 1021)",1
"(468, 1223)",1
"(1029, 1238)",1
"(456, 1574)",1
"(725, 1276)",1
"(348, 492)",1
"(1414, 1427)",1
"(365, 1002)",1
"(509, 1432)",1
"(851, 1119)",1
"(550, 600)",1
"(332, 1547)",1
"(1107, 1553)",1
"(821, 953)",1
"(329, 915)",1
"(532, 1504)",1
"(624, 1130)",1
"(791, 951)",1
"(871, 1140)",1
"(508, 562)",1
"(1436, 1578)",1
"(724, 891)",1
"(413, 1359)",1
"(406, 1230)",1
"(554, 1053)",1
"(915, 1304)",1
"(665, 1271)",1
"(482, 1380)",1
"(1074, 1571)",1
"(569, 646)",1
"(415, 424)",1
"(421, 1307)",1
"(1080, 1485)",1
"(1156, 1271)",1
"(1222, 1597)",1
"(1262, 1536)",1
"(482, 1161)",1
"(1125, 1421)",1
"(509, 754)",1
"(552, 1131)",1
"(755, 1347)",1
"(929, 1446)",1
"(1372, 1561)",1
"(568, 673)",1
"(574, 807)",1
"(420, 1301)",1
"(553, 593)",1
"(794, 1254)",1
"(874, 1424)",1
"(758, 825)",1
"(555, 1528)",1
"(812, 1173)",1
"(381, 1516)",1
"(650, 1553)",1
"(414, 1327)",1
"(639, 1302)",1
"(675, 1339)",1
"(307, 337)",1
"(300, 301)",1
"(592, 809)",1
"(727, 902)",1
"(649, 686)",1
"(446, 1254)",1
"(940, 951)",1
"(367, 1135)",1
"(1014, 1456)",1
"(1152, 1285)",1
"(770, 1169)",1
"(795, 1472)",1
"(554, 1382)",1
"(977, 1206)",1
"(393, 649)",1
"(875, 987)",1
"(357, 779)",1
"(1197, 1536)",1
"(955, 1355)",1
"(1167, 1367)",1
"(460, 1447)",1
"(739, 1309)",1
"(444, 1033)",1
"(827, 1598)",1
"(716, 1489)",1
"(335, 760)",1
"(948, 1068)",1
"(437, 1202)",1
"(666, 962)",1
"(601, 635)",1
"(629, 1346)",1
"(1414, 1417)",1
"(349, 1444)",1
"(359, 1459)",1
"(416, 1269)",1
"(1165, 1167)",1
"(457, 701)",1
"(631, 1425)",1
"(409, 564)",1
"(842, 1492)",1
"(999, 1480)",1
"(336, 923)",1
"(587, 753)",1
"(501, 958)",1
"(321, 1591)",1
"(337, 1459)",1
"(651, 952)",1
"(1378, 1480)",1
"(798, 848)",1
"(343, 1598)",1
"(626, 1449)",1
"(480, 920)",1
"(708, 1088)",1
"(696, 716)",1
"(973, 1460)",1
"(761, 1421)",1
"(1036, 1315)",1
"(468, 528)",1
"(1170, 1582)",1
"(747, 750)",1
"(944, 1561)",1
"(393, 1383)",1
"(852, 1405)",1
"(466, 749)",1
"(1227, 1428)",1
"(408, 1218)",1
"(755, 1250)",1
"(337, 627)",1
"(809, 1178)",1
"(1244, 1421)",1
"(1328, 1516)",1
"(1365, 1539)",1
"(1318, 1355)",1
"(956, 1584)",1
"(570, 884)",1
"(557, 827)",1
"(1093, 1447)",1
"(509, 1107)",1
"(761, 944)",1
"(1267, 1386)",1
"(695, 1165)",1
"(685, 796)",1
"(1174, 1252)",1
"(1064, 1380)",1
"(527, 991)",1
"(599, 735)",1
"(711, 1307)",1
"(518, 1231)",1
"(817, 1580)",1
"(586, 1095)",1
"(336, 1447)",1
"(517, 1318)",1
"(404, 483)",1
"(637, 1392)",1
"(460, 592)",1
"(399, 420)",1
"(554, 1239)",1
"(481, 1304)",1
"(435, 1445)",1
"(1207, 1303)",1
"(702, 845)",1
"(636, 986)",1
"(638, 958)",1
"(314, 1127)",1
"(362, 1502)",1
"(314, 435)",1
"(618, 1205)",1
"(352, 659)",1
"(737, 1473)",1
